标题,标题链接,缩略图,曝光价格,曝光价格累计平均数,交易数,位置,综合排名
海尔出品统帅1.5匹新一级变频空调挂机家用KFR-35GW/06XBA81TU1,https://click.simba.taobao.com/cc_im?p=%BC%D2%D3%C3%BF%D5%B5%F7&s=1407387042&k=569&e=ji4QB%2BGnMQ6cbMY62rCy1qz36IdM0Elk5ObBjCXC%2FzvYE%2B6A%2BPkXDIiW%2BBs31848STRqglURj0Idcl5wxF8arxC7CJGGVgvuoGqpHrcp0Vk5A1SHHFvQujoXAdEraESBNJPObxe5HyJGZst6zapLTtxJ6rAKa0mdTc0%2FJTvRT%2Bl%2BJ3VMrYJI20jg9pwHi6My%2BsspkLlxpnzie13LDpgt7eufVhGOExejhEv8cI68n4e09otBCTYj4klZdQgwjd%2B8efe1CAOtREwts%2FOl82fL5kz%2BEzxtSSoAYC8AQ1L8GFiVXhH8Ag8gBx1sPj3LsOPpIo9i8RrgSa%2FalovVOTaAkNYc3eghmezajI9rLCBzjl1fmyoDWL3maj7331EtSuiEDW2XJ4YfpynPhyS9w4zl7TxrIPT86ZxBZ%2B8xzA%2BTP%2Fx9dA9OSnOamp4CORc2gn6XpVTKYoqeh8JVgk10QZqepOlg96yUd8lgOmhl4YOZPhKS9a%2BlayNxD%2BMjsA9ZMKgKcBX7gwoLmmny%2BVyp0L7YYO5TaR3qM3Fu24LYgHQsKESFamJ%2FD7PGiQ%3D%3D,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/18307420/O1CN01QO34Mr24gPTHnUxyT_!!0-saturn_solar.jpg_460x460Q90.jpg_.webp,2599,2599,89,山东 青岛,1
Gree/格力 KFR-72LW 3匹冷暖定频客厅立式空调家用节能柜机官方,https://detail.tmall.com/item.htm?id=619095391099&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3079263591/O1CN0119957l1cOiw2lGG0C_!!2-item_pic.png_460x460Q90.jpg_.webp,6999,4799,0,广东 珠海,2
【新一级能效】美的酷金 大1.5匹变频空调智能家电冷暖家用挂机,https://detail.tmall.com/item.htm?id=622966874369&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/201749140/O1CN01D3zOWR2HOAhZp1x5B_!!2-item_pic.png_460x460Q90.jpg_.webp,2899,4165.666667,929,广东 佛山,3
荣事达家用空调挂机冷暖1p大1.5匹单冷壁挂式定速除湿节能静音,https://item.taobao.com/item.htm?id=618942906288&ns=1&abbucket=6#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2203733519994/O1CN01L321D02NhIwTii3SJ_!!2203733519994.jpg_460x460Q90.jpg_.webp,1049,3386.5,3888,浙江 宁波,4
【新一级变频】海尔空调 3匹家用立式节能空调柜机客厅 72EDS81,https://detail.tmall.com/item.htm?id=610686906961&ns=1&abbucket=6,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/470168984/O1CN01qKEqdh2GEiuqxgRT5_!!0-item_pic.jpg_460x460Q90.jpg_.webp,6599,4029,187,山东 青岛,5
Midea/美的空调大1.5匹冷暖一级变频智能家用壁挂式2匹3p大挂机,https://item.taobao.com/item.htm?id=626158381396&ns=1&abbucket=6#detail,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1073315655/O1CN01T6bnsk1re2L0EGHvS_!!1073315655.jpg_460x460Q90.jpg_.webp,1399,3590.666667,293,广东 佛山,6
美的空调挂机大1.5匹冷暖变频一级大1匹冷暖壁挂式家用节能,https://item.taobao.com/item.htm?id=609608428674&ns=1&abbucket=6#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/3695807670/O1CN01NM8Jq126WuU3yuJzT_!!3695807670.jpg_460x460Q90.jpg_.webp,1099,3234.714286,542,广东 佛山,7
TCL空调挂机大1p1.5匹冷暖两用一级变频2/3匹立式客厅家用柜机,https://item.taobao.com/item.htm?id=574854707564&ns=1&abbucket=6#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3909509496/O1CN01I30qhk2K1DhXZK4Dw_!!3909509496.jpg_460x460Q90.jpg_.webp,1539,3022.75,607,广东 佛山,8
美的空调冷静星家用冷暖两用变频节能挂机智能家电大1P匹PH400,https://detail.tmall.com/item.htm?id=638211495805&ns=1&abbucket=6,https://g.alicdn.com/s.gif,2199,2931.222222,98,广东 中山,9
【新能效】海尔出品统帅大1匹变频空调挂机KFR-26GW/05XBA83TU1,https://detail.tmall.com/item.htm?id=622033757453&ns=1&abbucket=6,https://g.alicdn.com/s.gif,2099,2848,227,山东 青岛,10
